zip_code,year,month,subsidy_total_cost,subsidy_total_kw,subsidy_total_paid,subsidy_count
93292,2016.00,Jan,21325.50,4.52,12400.50,1
93514,2016.00,Jan,120793.97,21.45,120793.97,5
93534,2016.00,Jan,20706.24,3.52,20706.24,1
93535,2016.00,Jan,20140.15,3.71,17627.25,1
93722,2016.00,Jan,39277.57,8.86,21655.07,3
93927,2016.00,Jan,15104.62,3.50,10491.00,1
93930,2016.00,Jan,16650.02,3.66,10977.00,1
93960,2016.00,Jan,12169.85,2.56,7695.00,1
94134,2016.00,Jan,16983.02,3.26,9768.00,1
94603,2016.00,Jan,17016.90,2.35,16422.00,1
94801,2016.00,Jan,15402.26,2.56,7695.00,1
95388,2016.00,Jan,15101.25,2.62,9851.25,1
95482,2016.00,Jan,11081.38,2.33,7002.00,1
95521,2016.00,Jan,14357.26,3.18,9534.00,1
95991,2016.00,Jan,36389.41,7.69,23079.00,2
90262,2016.00,Feb,19452.79,2.62,14202.79,1
91001,2016.00,Feb,20573.09,3.96,20573.09,1
92114,2016.00,Feb,13319.67,2.80,8394.00,1
92225,2016.00,Feb,65250.65,12.94,47313.15,3
92328,2016.00,Feb,94679.88,15.94,79061.92,6
92363,2016.00,Feb,10643.95,1.54,10643.95,1
93215,2016.00,Feb,21579.60,4.09,21477.75,1
93227,2016.00,Feb,66257.76,13.92,39959.62,5
93230,2016.00,Feb,14713.13,2.26,10250.63,1
